"AVCILAR BELEDİYE (FİRUZKÖY) STADI","26 Aralık 2015 Cumartes","10:45 ","AVCILAR BELEDİYE - EROĞLU ","U-14 ","21.GRUP ","MURAT ÇEBİ",NULL,NULL
"AVCILAR BELEDİYE (FİRUZKÖY) STADI","26 Aralık 2015 Cumartes","12:30 ","AVCILAR 1903 SPOR - 1907 A.Ç.ÇEŞME ","U-16 ","28.GRUP ","ALİ TÜRKEN HAYRAN","SERDAR ÖZTÜRK","BARIŞ MARANGÖZ"
"AVCILAR BELEDİYE (FİRUZKÖY) STADI","26 Aralık 2015 Cumartes","14:30 ","AYAZAĞA - YÜCESPOR ","S.AL.","3.GRUP ","FATİH ÇALIŞKAN","MEHMET DEMİREL","RAMAZAN GÜLHAN"
"BAĞCILAR BLD. MAHMUTBEY STADI","26 Aralık 2015 Cumartes","09:00 ","BAĞCILAR ORDU - ÇAĞRIM MARMARA 1907 ","U-16 ","20.GRUP ","HÜSEYİN YÜKSEL","MELDA ÇEVİK","SERKAN KOÇ"
"BAĞCILAR BLD. MAHMUTBEY STADI","26 Aralık 2015 Cumartes","10:45 ","BAĞCILAR İ.Y.CEMSPOR - YILDIZTABYA ","U-16 ","20.GRUP ","GÖKHAN BOY","MELDA ÇEVİK","SERKAN KOÇ"
"BAĞCILAR BLD. MAHMUTBEY STADI","26 Aralık 2015 Cumartes","12:30 ","CFS BAĞCILAR - ÖRNEKTEPE ","U-16 ","12.GRUP ","TANER ÇAKIR","SUAT ÜSTÜNDAĞ","SERKAN KOÇ"
"BAĞCILAR BLD. MAHMUTBEY STADI","26 Aralık 2015 Cumartes","14:30 ","BAĞCILAR - VARDAR ","S.AL.","3.GRUP ","GÖKALP KURT","CENK FATİH DEMİRCİ","KAYHAN HAZIROĞLU"
"BAHÇEKÖY ORMAN FAKÜLTESİ SAHASI","26 Aralık 2015 Cumartes","14:30 ","BAHÇEKÖY - KÜÇÜKÇEKMECE İ.Y. ","1.AL.","7.GRUP ","MEHMET TOLGA TARIK","UĞUR GÖKALP","ALPEREN ÜNAL"
"BAKIRKÖY BELEDİYE 1 NOLU SAHA","26 Aralık 2015 Cumartes","09:00 ","BAKIRKÖY GENÇLİK - BAYRAMPAŞA TEKNİK ","U-14 ","9.GRUP ","KUTLUHAN TAŞÇI",NULL,NULL
"BAKIRKÖY BELEDİYE 1 NOLU SAHA","26 Aralık 2015 Cumartes","10:45 ","TELSİZ - SEYRANTEPE YEŞİLCE ","U-14 ","7.GRUP ","KUTLUHAN TAŞÇI",NULL,NULL
"BAKIRKÖY BELEDİYE 1 NOLU SAHA","26 Aralık 2015 Cumartes","12:30 ","ALTINOVA - BAKIRKÖY ","U-16 ","26.GRUP ","SERKAN AYDIN","NURHAN KABAKÇI","ŞAFAK SİLİK"
"BAKIRKÖY BELEDİYE 1 NOLU SAHA","26 Aralık 2015 Cumartes","14:30 ","OSMANİYE İSTİKLAL - KAĞITHANE SADABAD ","U-16 ","6.GRUP ","EROL KURT","NURHAN KABAKÇI","ŞAFAK SİLİK"
"BAKIRKÖY BELEDİYE 2 NOLU SAHA","26 Aralık 2015 Cumartes","09:00 ","YENİBOSNA - BEZİRGANBAHÇE ","U-16 ","22.GRUP ","CÜNEYT AKASYALI","ÇAĞRI KAYA 2","ABDURRAHMAN ÇAĞLAYAN"
"BAKIRKÖY BELEDİYE 2 NOLU SAHA","26 Aralık 2015 Cumartes","10:45 ","Z.YILDIZ - SİMURG SPOR ","U-16 ","22.GRUP ","EMRE GÜLLE","ÇAĞRI KAYA 2","ABDURRAHMAN ÇAĞLAYAN"
"BAKIRKÖY BELEDİYE 2 NOLU SAHA","26 Aralık 2015 Cumartes","12:30 ","GÜNEŞTEPE - İKİTELLİ ","1.AL.","13.GRUP ","TURGAY GÜZEL","FIRAT ALPER","GÖKHAN CELEP"
"BAKIRKÖY BELEDİYE 2 NOLU SAHA","26 Aralık 2015 Cumartes","14:30 ","TOZKOPARAN - NİŞANCA KALESPOR ","1.AL.","7.GRUP ","MERT KOR","FIRAT ALPER","GÖKHAN CELEP"
"BALAT SUNİ ÇİM SAHA","26 Aralık 2015 Cumartes","13:00 ","MEDİPOL BAŞAKŞEHİR - GALATASARAY A.Ş. ","CC.U1","Coca-Cola U1","MUSTAFA BOSTAN","SEMİH ÇÖLGEÇEN","YAĞIZ PİŞİRİR"
"BAYRAMPAŞA BELEDİYE STADI","26 Aralık 2015 Cumartes","09:00 ","BAYRAMPAŞA DEMİR - AYAZAĞA ","U-14 ","9.GRUP ","BEKİR ÇALIŞKAN",NULL,NULL
"BAYRAMPAŞA BELEDİYE STADI","26 Aralık 2015 Cumartes","10:45 ","İSTANBUL GİRESUN - İSTANBUL GÜNGÖREN ","U-16 ","8.GRUP ","BAHADIR AKINCI","BEKİR ÇALIŞKAN","ONUR ÖZDEMİR"
"BAYRAMPAŞA BELEDİYE STADI","26 Aralık 2015 Cumartes","12:30 ","BAYRAMPAŞA DEMİR - ZAFERSPOR ","1.AL.","11.GRUP ","BURAK KAPLAN (1)","İSMAİL MİŞE","MEHMET YİĞİT"
"BAYRAMPAŞA BELEDİYE STADI","26 Aralık 2015 Cumartes","14:30 ","ÇANKIRI MARUF SPOR - İSTANBUL BULANCAK ","1.AL.","13.GRUP ","SAMET TÜKENMEZ","İSMAİL MİŞE","MEHMET YİĞİT"
"B.PAŞA BLD. TERAZİDERE TESİSLERİ","26 Aralık 2015 Cumartes","10:00 ","BAYRAMPAŞA DOĞAN - BAYRAMPAŞA ","U-12 ","16.GRUP ","İBRAHİM ENES UZUN",NULL,NULL
"B.PAŞA BLD. TERAZİDERE TESİSLERİ","26 Aralık 2015 Cumartes","11:00 ","BAYRAMPAŞA DEMİR - ALTINOVA ","U-12 ","16.GRUP ","İBRAHİM ENES UZUN",NULL,NULL
"B.PAŞA BLD. TERAZİDERE TESİSLERİ","26 Aralık 2015 Cumartes","12:00 ","BAYRAMPAŞA TEKNİK - TUNASPOR ","U-12 ","16.GRUP ","FİGEN ELEMAN",NULL,NULL
"B.PAŞA BLD. TERAZİDERE TESİSLERİ","26 Aralık 2015 Cumartes","13:00 ","ALTINTEPSİ MAKEL - HAZNEDAR ÇETİNKAYA ","U-12 ","16.GRUP ","FİGEN ELEMAN",NULL,NULL
"B.PAŞA BLD. TERAZİDERE TESİSLERİ","26 Aralık 2015 Cumartes","14:00 ","ES. KULÜP ATLETİK - GÜRZAFER ","U-12 ","16.GRUP ","ZEYNEP RABİA GÜLEN",NULL,NULL
"B.PAŞA BLD. TERAZİDERE TESİSLERİ","26 Aralık 2015 Cumartes","15:00 ","CEVATPAŞA - TERAZİDERE ","U-12 ","16.GRUP ","ZEYNEP RABİA GÜLEN",NULL,NULL
